timestamp,cmd_v,cmd_w
1739998158015816992,1.0,0.0
1739998158049831998,0.0,0.0
1739998158049854766,1.0,0.0
1739998158075947739,0.0,0.0
1739998158076008853,1.0,0.0
1739998158103929140,0.0,0.0
1739998158103961581,1.0,0.0
1739998158133918120,0.0,0.0
1739998158133955574,1.0,0.0
1739998158163008383,0.0,0.0
1739998158163042851,1.0,0.0
1739998158197159247,0.0,0.0
1739998158197197124,1.0,0.0
1739998158225260893,0.0,0.0
1739998158225294572,1.0,0.0
1739998158255545241,0.0,0.0
1739998158255588963,1.0,0.0
1739998158285155061,0.0,0.0
1739998158285183627,1.0,0.0
1739998158319323612,0.0,0.0
1739998158319358878,1.0,0.0
1739998158350181151,0.0,0.0
1739998158350231646,1.0,0.0
1739998158375206617,0.0,0.0
1739998158375248519,1.0,0.0
1739998158409704519,0.0,0.0
1739998158409747939,1.0,0.0
1739998158441484158,0.0,0.0
1739998158441513565,1.0,0.0
1739998158466195128,0.0,0.0
1739998158466229858,1.0,0.0
1739998158497770455,0.0,0.0
1739998158497802020,1.0,0.0
1739998158528749718,0.0,0.0
1739998158528785993,1.0,0.0
1739998158564047089,0.0,0.0
1739998158564077378,1.0,0.0
1739998158589173690,0.0,0.0
1739998158589205970,1.0,0.0
1739998158623604246,0.0,0.0
1739998158623640589,1.0,0.0
1739998158650859073,0.0,0.0
1739998158650887777,1.0,0.0
1739998158682440508,0.0,0.0
1739998158682470296,1.0,0.0
1739998158716972642,0.0,0.0
1739998158717012373,1.0,0.0
1739998158742601940,0.0,0.0
1739998158742646404,1.0,0.0
1739998158777005381,0.0,0.0
1739998158777040597,1.0,0.0
1739998158810140054,0.0,0.0
1739998158810177708,1.0,0.0
1739998158838147558,0.0,0.0
1739998158838186231,1.0,0.0
1739998158863124307,0.0,0.0
1739998158863154022,1.0,0.0
1739998158893289338,0.0,0.0
1739998158893311803,1.0,0.0
1739998158924452118,0.0,0.0
1739998158924482585,1.0,0.0
1739998158958904280,0.0,0.0
1739998158958942180,1.0,0.0
1739998158983881917,0.0,0.0
1739998158983908846,1.0,0.0
1739998159015044896,0.0,0.0
1739998159015079686,1.0,0.0
1739998159054542615,0.0,0.0
1739998159054585504,1.0,0.0
1739998159083855022,0.0,0.0
1739998159083897488,1.0,0.0
1739998159104804995,0.0,0.0
1739998159104833940,1.0,0.0
1739998159136783470,0.0,0.0
1739998159136841794,1.0,0.0
1739998159164505634,0.0,0.0
1739998159164536962,1.0,0.0
1739998159194732145,0.0,0.0
1739998159194757408,1.0,0.0
1739998159224928082,0.0,0.0
1739998159224958368,1.0,0.0
1739998159264988109,0.0,0.0
1739998159265018755,1.0,0.0
1739998159284469559,0.0,0.0
1739998159284499452,1.0,0.0
1739998159314332942,0.0,0.0
1739998159314373522,1.0,0.0
1739998159344864327,0.0,0.0
1739998159344902099,1.0,0.0
1739998159378344895,0.0,0.0
1739998159378403068,1.0,0.0
1739998159404084577,0.0,0.0
1739998159404114563,1.0,0.0
1739998159436406723,0.0,0.0
1739998159436435757,1.0,0.0
1739998159468659832,0.0,0.0
1739998159468704273,1.0,0.0
1739998159494232470,0.0,0.0
1739998159494263169,1.0,0.0
